id,name,party,sector,country,type
UL	Ursula von der Leyen	CDU	Politik	Deutschland	1
LK	Lars Klingbeil	SPD	Politik	Deutschland	1
NR	Norbert Röttgen	CDU	Politik	Deutschland	1
SW	Sahra Wagenknecht	Die Linke	Politik	Deutschland	1
CS	Constanze Stelzenmüller		Wissenschaft	USA	1
CL	Christian Lindner	FDP	Politik	Deutschland	1
KS	Karl Schlögel		Wissenschaft	Deutschland	1
LM	Ljudmyla Melnyk		Wissenschaft	Ukraine	1
KD	Kristina Dunz		Journalismus	Deutschland	1
EG	Egils Levits		Politik	Lettland	1
AL  Annalena Baerbock Die Grünen Politik Deutschland 1 
FT	Frans Timmermans		Politik	Niederlande	1
AM	Andrij Melnyk		Politik	Ukraine	1
AGL	Alexander Graf Lambsdorff	FDP	Politik	Deutschland	1
ER	Egon Ramms		Militär	Deutschland	1
RH	Robert Habeck	Grüne	Politik	Deutschland	1
CM	Claudia Major		Politik	Deutschland	1
KP	Katja Petrowskaja		Journalismus	Ukraine	1
RK	Roderich Kiesewetter	CDU	Politik	Deutschland	1
